id,tweet,cleanTweets
2207,"Signs of 'sudden' heart attack may appear a month before, study suggests http://nbcnews.to/1dfv9ZQ",signs of sudden heaattack may appear a month before study suggests
2208,RT @NBCNewYork: Mayor Bloomberg has signed the bill raising NYC's tobacco-buying age to 21 http://4.nbcny.com/CpOn4Z4,mayor bloomberg has signed the bill raising nycs tobacco buying age to number
2209,Doctors complain they will be paid less by health exchange plans http://nbcnews.to/18NkGwV,doctors complain they will be paid less by health exchange plans
2210,"Generation slowpoke? Kids don't run as fast as parents once did, study finds http://nbcnews.to/18MTm1Y",generation slowpoke kids do not run as fast as parents once did study finds
2211,"Obamacare botches could derail all of health reform, advocates fear http://nbcnews.to/18MTgr9",obamacare botches could derail all of health reform advocates fear
2212,It's nothing to sniff at: Men have bigger noses because of more muscle http://nbcnews.to/1cEa3zg,its nothing to sniff at men have bigger noses because of more muscle
2213,Bioethicist: Emergency vaccine needed to stop meningitis outbreak http://nbcnews.to/1dPREke,bioethicist emergency vaccine needed to stop meningitis outbreak
2214,Princeton OKs meningitis vaccine to fight outbreak http://nbcnews.to/1dbEZfc,princeton oks meningitis vaccine to fight outbreak
2215,"Even people with super recall tripped up by false memories, study finds http://nbcnews.to/1ioYoZH",even people with super recall tripped up by false memories study finds
2216,Lawmakers urge greater oversight of compounding pharmacies  http://nbcnews.to/1ioXjRG,lawmakers urge greater oversight of compounding pharmacies
2217,"Quick, high-intensity workouts: Trendy, but safe?  http://nbcnews.to/1ioX2yc",quick high intensity workouts trendy but safe
2218,That lovin' feeling: Men's brains respond to gentle touch http://nbcnews.to/1ioWJDw,that lovin feeling mens brains respond to gentle touch
2219,"Insurers, state officials say cancellation of health care policies just as they predicted http://nbcnews.to/1bM7D1p",insurers state officials say cancellation of health care policies just as they predicted
2220,Obesity linked to mobility problems in older women http://nbcnews.to/1eWCg9a,obesity linked to mobility problems in older women
2221,Emergency meningitis vaccine will be imported to halt Ivy League outbreak http://nbcnews.to/1bLBS8z,emergency meningitis vaccine will be imported to halt ivy league outbreak
2222,"Offer women IUDs, hormone shots after abortions: study http://nbcnews.to/1bLnPQv",offer women iuds hormone shots after abortions study
2223,House set to vote on GOP insurance 'fix' http://nbcnews.to/1bL2ruC,house set to vote on gop insurance fix
2224,"Health exchanges slow to attract young, healthy http://nbcnews.to/1eVLD9i",health exchanges sloto attract young healthy
2225,Philippine workers fight the clock to name dead while digging mass graves http://nbcnews.to/1bL1jaj,philippine workers fight the clock to name dead while digging mass graves
2226,Women may have harder concussion recovery than men http://nbcnews.to/1eVzEbK,women may have harder concussion recovery than men
2227,"Identical twins share breast cancer, rare surgery http://nbcnews.to/1eUyHAn",identical twins share breast cancer rare surgery
2228,"Weight-loss surgery may reverse signs of aging, docs say http://nbcnews.to/1bK03nS",weight loss surgery may reverse signs of aging docs say
2229,"The Obamacare 'fix' is in: Now, where do we go from here? http://nbcnews.to/1eTxedE",the obamacare fix is in no where do we go from here
2230,"Insurers, patients scrambling after Obamacare revision http://nbcnews.to/1eSjzUa",insurers patients scrambling after obamacare revision
2231,Boys more likely than girls to be born preemies http://nbcnews.to/1eSigVb,boys more likely than girls to be born preemies
2232,Obamacare fix puts insurers in a tough spot http://nbcnews.to/1eS607h,obamacare fix puts insurers in a tough spot
2233,Still skittish: Wary Dems aren’t satisfied by Obamacare ‘fix’ http://nbcnews.to/1bIbkFn,still skittish wary dems aren t satisfied by obamacare fix 
2234,Infant illnesses linked to parents nixing routine Vitamin K shot http://nbcnews.to/1bI84tx,infant illnesses linked to parents nixing routine vitamin k shot
2235,"Best health care system? Really, John Boehner? http://nbcnews.to/1eRVWLu",best health care system really john boehner
2236,California takes down 10 fake Obamacare websites http://nbcnews.to/1eRswgt,california takes down number fake obamacare websites
2237,Don't eat the crispy french fries: FDA tells how to cut acrylamide http://nbcnews.to/1eRwu93,do not eat the crispy french fries fda tells hoto cut acrylamide
2238,"E-cigs, hookahs gain new hold with middle, high school kids http://nbcnews.to/1bHjduE",e cigs hookahs gain nehold with middle high school kids
2239,Obama gives people an extra year to keep health insurance http://nbcnews.to/1bH8dNW,obama gives people an extra year to keep health insurance
2240,Will low online enrollments in the fall hobble the health law? http://nbcnews.to/1eQiUmb,will loonline enrollments in the fall hobble the health la
2241,Bird flu strain infects human for 1st time http://nbcnews.to/1ePYdXu,bird flu strain infects human for number st time
2242,"Long-term contraception effective but not popular, study suggests  http://nbcnews.to/1eNLgh2",long term contraception effective but not popular study suggests
2243,Diabetes battle 'being lost' as cases hit record 382 million http://nbcnews.to/1bELiCT,diabetes battle being lost as cases hit record number million
2244,Confused about cholesterol guidelines? Talk to your doctor http://nbcnews.to/1bEFIQR,confused about cholesterol guidelines talk to your doctor
2245,Low enrollment numbers add to political low point for Obama http://nbcnews.to/1bED3Xv,loenrollment numbers add to political lopoint for obama
2246,Home HPV test may help detect early cervical cancer http://nbcnews.to/1bEz3pZ,home hpv test may help detect early cervical cancer
2247,Smile secrets: 5 things your grin reveals http://on.today.com/1eNsypG,smile secrets number things your grin reveals
2248,New EpiPen law could save lives of schoolkids with severe allergies http://nbcnews.to/1a5MujT,neepipen lacould save lives of schoolkids with severe allergies
2249,Bill to combat allergy emergencies in schools signed by Obama http://nbcnews.to/1eNhbhn,bill to combat allergy emergencies in schools signed by obama
2250,GOP pounces on Obamacare enrollment figure http://nbcnews.to/1bEly9F,gop pounces on obamacare enrollment figure
2251,"http://HealthCare.gov targeted 'about 16 times' by cyberattacks, DHS official says http://nbcnews.to/1eNcdBs",targeted about number times by cyberattacks dhs official says
2252,Doctors are told to get serious about obesity http://nbcnews.to/1eN6efP,doctors are told to get serious about obesity
2253,"26,000 signed up through federal Obamacare website in first month, administration says http://nbcnews.to/1bEf9Lv",number signed up through federal obamacare website in first month administration says
2254,"Shame, shame: How lying affects men's health http://nbcnews.to/1bEcMbL",shame shame holying affects mens health
2255,How many signed up? http://Healthcare.gov numbers come today http://nbcnews.to/1bEaFor,homany signed up numbers come today
2256,"Cholera outbreak in Mexico sickens 180, WHO says http://nbcnews.to/1eMJ1KW",cholera outbreak in mexico sickens number who says
2257,It's not just hookups: Some women never orgasm at all  http://nbcnews.to/1eMBMT1,its not just hookups some women never orgasm at all
2258,Tech officials asked to dish on http://healthcare.gov woes http://nbcnews.to/1bDbEFj,tech officials asked to dish on woes
2259,How your company is watching your waistline http://nbcnews.to/1bD9K7H,hoyour company is watching your waistline
2260,'Endless path of misery:' Typhoon aid workers rush to restore vital water supplies http://nbcnews.to/1bBtJne,endless path of misery typhoon aid workers rush to restore vital water supplies
2261,J&amp;J reaches $4 billion deal on hip implant lawsuits: report http://nbcnews.to/1eJo43i,j j reaches money billion deal on hip implant lawsuits repo
2262,'Know your numbers'? Not any more under new heart guidelines http://nbcnews.to/1eJbtND,knoyour numbers not any more under neheaguidelines
2263,FDA warns against counterfeit male sexual enhancement product http://nbcnews.to/1bAQR53,fda warns against counterfeit male sexual enhancement product
2264,What makes U.S. health care so overpriced? It’s not what youthink http://nbcnews.to/1bAJyuh,what makes us health care so overpriced it s not what youthink
2265,Ohio boy who came home for early Christmas dies http://nbcnews.to/1eIL0jg,ohio boy who came home for early christmas dies
2266,"Come back to http://Healthcare.gov, feds urge http://nbcnews.to/1bAFnia",come back to feds urge
2267,"Depressed people may age faster, study suggests http://nbcnews.to/1eIAp7W",depressed people may age faster study suggests
2268,"Avoiding the pee splash-back is in the aim, distance, scientist says http://nbcnews.to/1eIjxhC",avoiding the pee splash back is in the aim distance scientist says
2269,"Being a bully linked to casual, risky sex http://nbcnews.to/1bzMpnk",being a bully linked to casual risky sex
2270,Medicaid is health overhaul's early success story http://nbcnews.to/1eHua4j,medicaid is health overhauls early success story
2271,Exercise may help prevent depression later in life http://nbcnews.to/1eFnl3b,exercise may help prevent depression later in life
2272,"Vitamins don’t prevent heart disease or cancer,experts find http://nbcnews.to/1eF5Ks9",vitamins don t prevent headisease or cancer experts find
2273,Health overhaul debate snags Senate pharmacy-oversight bill http://nbcnews.to/1bvVMUX,health overhaul debate snags senate pharmacy oversight bill
2274,Don’t expect big enrollment numbers for the health insurance exchanges http://nbcnews.to/1bvLtjD,don t expect big enrollment numbers for the health insurance exchanges
2275,"Polio strain in Syria originated in Pakistan, WHO confirms http://nbcnews.to/1eECuln",polio strain in syria originated in pakistan who confirms
2276,Just like dad: Why there are more 'juniors' in the South http://nbcnews.to/1bvbpvM,just like dad why there are more juniors in the south
2277,Health website tests a tycoon and tinkerer http://nbcnews.to/1eDU4pC,health website tests a tycoon and tinkerer
2278,RT @DrNancyNBCNEWS: No admissions. No supplies but people still come with injuries #Tacolban @nbcnightlynews @nbcnews http://pbs.twimg.com/media/BYyvUFqCMAELcft.jpg,no admissions no supplies but people still come with injuries tacolban
2279,Health law's troubles give GOP a much-needed boost http://nbcnews.to/1eDNHCx,health las troubles give gop a much needed boost
2280,PG-13 movies are now more violent than R-rated '80s flicks -study http://nbcnews.to/1bsgeGg,pg number movies are nomore violent than r rated number 0s flicks study
2281,"Exercise is good for moms-to-be -- and baby's brain, study finds http://on.today.com/1brfGQS",exercise is good for moms to be and babys brain study finds
2282,Food for thought: Will almonds be part of a cancer-fighting arsenal one day? http://on.today.com/1bqTrKV,food for thought will almonds be paof a cancer fighting arsenal one day
2283,Grilled chicken salad recalled after E. coli outbreak http://nbcnews.to/1eAEElY,grilled chicken salad recalled after e coli outbreak
2284,Few options for Obama to fix cancellations problem http://nbcnews.to/1eAqaTb,feoptions for obama to fix cancellations problem
2285,Boy's bone marrow transplant wiped out cancer -- and his peanut allergy http://nbcnews.to/1bjXzMF,boys bone marrotransplant wiped out cancer and his peanut allergy
2286,"Oral care in elderly 'deserves significant attention,' study finds http://nbcnews.to/1bjSO5V",oral care in elderly deserves significant attention study finds
2287,"Obama pivots to economy, but health care woes persist http://nbcnews.to/1eu83y2",obama pivots to economy but health care woes persist
2288,FDA seeks faster warning updates for generic drugs http://nbcnews.to/1eu1o7d,fda seeks faster warning updates for generic drugs
2289,'A world of difference': Wounded warriors train with pro athletes http://nbcnews.to/1etQhLj,a world of difference wounded warriors train with pro athletes
2290,"Low sexual desire plagues men, too http://nbcnews.to/1biZIbC",losexual desire plagues men too
2291,"Experts praise 'historic' mental health, addiction parity rule http://nbcnews.to/1etGKUy",experts praise historic mental health addiction parity rule
2292,"Rickets making a comeback in the UK, doctors say http://nbcnews.to/1esLNEW",rickets making a comeback in the uk doctors say
2293,Melody malady: Clarinet player develops 'saxophone lung' from fungus http://nbcnews.to/1erpDCQ,melody malady clarinet player develops saxophone lung from fungus
2294,Sneaky risk: Trans fats hidden in yummy places http://on.today.com/1bfCGT1,sneaky risk trans fats hidden in yummy places
2295,"Syrian polio outbreak could spread to Europe, experts warn http://nbcnews.to/1bfxqPf",syrian polio outbreak could spread to europe experts warn
2296,Exclusive: Obama personally apologizes for Americans losing health coverage http://nbcnews.to/1bfwUAN,exclusive obama personally apologizes for americans losing health coverage
2297,New ligament found in human knee http://nbcnews.to/1epCvJR,neligament found in human knee
2298,FDA wants to ban trans fats from food http://nbcnews.to/1ep0j0i,fda wants to ban trans fats from food
2299,Feds give health centers $150 million to treat 1.25 million new patients http://nbcnews.to/1bccvfW,feds give health centers money million to treat number million nepatients
2300,Contaminated minds: Why some people feel perpetually unclean http://nbcnews.to/1em9ui5,contaminated minds why some people feel perpetually unclean
2301,Popular Obamacare provision is causing 'sticker shock' for some http://nbcnews.to/1baM3TV,popular obamacare provision is causing sticker shock for some
2302,"Speaking a second language delays dementias, even in the illiterate, study finds http://nbcnews.to/1elNkMU",speaking a second language delays dementias even in the illiterate study finds
2303,Monkey thoughts move virtual arms — human-machine mind-meld next? http://nbcnews.to/1bahpKc,monkey thoughts move virtual arms human machine mind meld next
2304,Sebelius faces more questions on health law http://nbcnews.to/1ekpD7P,sebelius faces more questions on health la
2305,The race to vaccinate youngest Syrian refugees against polio http://nbcnews.to/1ei5FKU,the race to vaccinate youngest syrian refugees against polio
2306,Obama heads to high-stakes Texas to sell health care law http://nbcnews.to/1ehLYCX,obama heads to high stakes texas to sell health care la
2307,Study: Young men may have unrecognized eating disorders http://nbcnews.to/1b62LUy,study young men may have unrecognized eating disorders
2308,Is housework making you fat? It's sure not helping much http://nbcnews.to/1b60kRG,is housework making you fat its sure not helping much
2309,Longboarders may face higher risk of head injury than skateboarders  http://nbcnews.to/1ehneL2,longboarders may face higher risk of head injury than skateboarders
2310,"No real proof bacon can hurt sperm, so let your sex life sizzle http://nbcnews.to/1b5Kqqo",no real proof bacon can husperm so let your sex life sizzle
2311,Indiana hunter paralyzed in fall chooses to end life support http://nbcnews.to/1ehioxe,indiana hunter paralyzed in fall chooses to end life suppo
2312,"Famed runner Joy Johnson, 86, dies one day after NYC Marathon http://on.today.com/1b9Sk0E",famed runner joy johnson number dies one day after nyc marathon
2313,'Low-T?' Testosterone therapy may boost serious risks in men with heart troubles http://nbcnews.to/1b5AZHD,lo t testosterone therapy may boost serious risks in men with heatroubles
2314,Colon cancer screenings may be leveling off http://nbcnews.to/1b5eUc6,colon cancer screenings may be leveling off
2315,Medicare administrator Tavenner testifies amid criticism of http://HealthCare.gov rollout http://nbcnews.to/1efQQbw,medicare administrator tavenner testifies amid criticism of rollout
2316,Vietnam releases dengue-blocking mosquito http://nbcnews.to/1b3ZCo4,vietnam releases dengue blocking mosquito
2317,Big man bullied: Jonathan Martin reminds us that victims aren't always the little guys http://nbcnews.to/1eewVd3,big man bullied jonathan martin reminds us that victims are not always the little guys
2318,Demand for doctors will grow as population in US ages http://nbcnews.to/1ed45d8,demand for doctors will groas population in us ages
2319,Strep scorecard might tell if you can skip doc visit http://nbcnews.to/1ed2Vyh,strep scorecard might tell if you can skip doc visit
2320,"Frustration, uncertainty keep people off health insurance sites http://nbcnews.to/1ecl7YJ",frustration uncertainty keep people off health insurance sites
2321,"Many health woes in teens seeking obesity surgery, study http://nbcnews.to/1aZDwTy",many health woes in teens seeking obesity surgery study
2322,Hollywood targeted to give health care law a boost http://nbcnews.to/1ebzOeQ,hollywood targeted to give health care laa boost
2323,HPV vaccine: One dose may be enough http://nbcnews.to/1aYYEtn,hpv vaccine one dose may be enough
2324,"Obesity linked to early puberty in US girls, study finds http://nbcnews.to/1aXfQzo",obesity linked to early puberty in us girls study finds
2325,"Vets, pet owners demand to know: Why can't FDA solve jerky treat mystery? http://nbcnews.to/1e7gKya",vets pet owners demand to kno why can not fda solve jerky treat mystery
2326,Wild science: Breakthroughs in animal health care may hold treatments for humans http://nbcnews.to/1e34JtK,wild science breakthroughs in animal health care may hold treatments for humans
2327,Belgium considering new euthanasia law for kids http://nbcnews.to/1dXWX47,belgium considering neeuthanasia lafor kids
2328,When insurers drop policies: Three stories http://nbcnews.to/1aMEMJM,when insurers drop policies three stories
2329,"U.S. preemie births fall to 15-year low, still worst in developed world http://nbcnews.to/1aMtUvw",us preemie births fall to number year lo still worst in developed world
2330,"Midwives and nurses are as good as docs -- and sometimes better, WHO finds http://nbcnews.to/1dUWRdF",midwives and nurses are as good as docs and sometimes better who finds
2331,Health website restored once more as feds open up about tech whizzes http://nbcnews.to/1dUnH5v,health website restored once more as feds open up about tech whizzes
2332,Malariacases hit 40-year high in US http://nbcnews.to/1aJ6nvm,malariacases hit number year high in us
2333,FDA outlines plan to combat drug shortages http://nbcnews.to/1dTONK5,fda outlines plan to combat drug shortages
2334,"Afternoons turn us into lying, cheating, lazy jerks http://nbcnews.to/1dTlRSv",afternoons turn us into lying cheating lazy jerks
2335,"Strangers surround dying man in his favorite color, #skybluepink http://on.today.com/1aF8kZO",strangers surround dying man in his favorite color sky blue pink
2336,"Eew, that's the pits! Man had armpit odor for 4 years http://nbcnews.to/1dPxTfC",ee thats the pits man had armpit odor for number years
2337,NBC/WSJ poll: Public divided over whether website woes are short-term or long-term problem http://nbcnews.to/1aECwEv,nbc wsj poll public divided over whether website woes are sho term or long term problem
2338,Obama says health care website will ‘get fixed ASAP’ http://nbcnews.to/1dPhCaD,obama says health care website will get fixed asap 
2339,"Imported spices have high salmonella risk, FDA says http://nbcnews.to/1aEvVcV",imported spices have high salmonella risk fda says
2340,"When docs make mistakes, should colleagues tell? Yes, new paper says http://nbcnews.to/1dPa0Vy",when docs make mistakes should colleagues tell yes nepaper says
2341,"When docs make mistakes, should colleagues tell? Yes, new paper says http://nbcnews.to/1ivcsOG",when docs make mistakes should colleagues tell yes nepaper says
2342,Analysis: Sebelius hearing on Obamacare website goes straight to Oz http://nbcnews.to/1aEoQcu,analysis sebelius hearing on obamacare website goes straight to oz
2343,Polio breaks out in Syria - WHO warns it could spread http://nbcnews.to/1aEeWaK,polio breaks out in syria who warns it could spread
2344,"Smoking really does make you look older, a twin study confirms http://on.today.com/1dOPtAr",smoking really does make you look older a twin study confirms
2345,"Sebelius to acknowledge glitches, pledge action in Obamacare testimony http://nbcnews.to/1dOPtk5",sebelius to acknowledge glitches pledge action in obamacare testimony
2346,How did Obamacare site go so wrong? 5 questions Sebelius must answer http://nbcnews.to/1dOPvIB,hodid obamacare site go so wrong number questions sebelius must answer
2347,How did Obamacare site go so wrong? 5 questions Sebelius must answer http://nbcnews.to/1aEeVUm,hodid obamacare site go so wrong number questions sebelius must answer
2348,Gov't document: Health site posed security risk http://nbcnews.to/1dOPvIx,gov t document health site posed security risk
2349,Why insurers cancel health policies and what you can do when it happens http://nbcnews.to/1dOPtjT,why insurers cancel health policies and what you can do when it happens
2350,Why insurers cancel health policies and what you can do when it happens http://nbcnews.to/1aEeTMb,why insurers cancel health policies and what you can do when it happens
2351,"You look better with your friends than you do on your own, study says http://nbcnews.to/1dOPvIt",you look better with your friends than you do on your own study says
2352,Girl athletes at risk for concussions as 'culture of resistance' keeps rates high http://nbcnews.to/1dOPt3y,girl athletes at risk for concussions as culture of resistance keeps rates high
2353,Girl athletes at risk for concussions as 'culture of resistance' keeps rates high http://nbcnews.to/16MUh1E,girl athletes at risk for concussions as culture of resistance keeps rates high
2354,Federal food allergy guidelines issued to schools http://on.today.com/16MS9qI,federal food allergy guidelines issued to schools
2355,"We're sorry, and we'll fix the website, health officials promise. Story here: http://nbcnews.to/1hqIJZy #aca #Obamacare",we are sorry and we will fix the website health officials promise story here aca obamacare
2356,HHS @Sebelius expected to acknowledge glitches in Obamacare testimony. Story here: http://nbcnews.to/1hqDOro,hhs expected to acknowledge glitches in obamacare testimony story here
2357,What a drag: Smoking really does make you look older. Story here: http://on.today.com/1dIJRb4 http://pbs.twimg.com/media/BXwbbcwCMAAndI3.jpg,what a drag smoking really does make you look older story here
2358,"How deep are problems w #Obamacare site, how long to fix it? Top site exec grilled at 10a http://nbcnews.to/1cgBDmz #healthinsurance",hodeep are problems obamacare site holong to fix it top site exec grilled at number number a health insurance
2359,"Condoms should be more available to teens, doctors say http://nbcnews.to/16H2fti",condoms should be more available to teens doctors say
2360,"Cervical cancer vaccine misses minority women, study finds http://nbcnews.to/16GLrCB",cervical cancer vaccine misses minority women study finds
2361,"Smokers most likely to think about quitting on Mondays, study finds http://nbcnews.to/1cdMBt1 #MustbeMonday",smokers most likely to think about quitting on mondays study finds mustbe monday
2362,Dance away the pain: Parkinson's patients improve mobility through exercise. http://nbcnews.to/17rMHNN,dance away the pain parkinsons patients improve mobility through exercise
2363,"A kidney for $10,000? Paying donors actually pays off, new study finds http://nbcnews.to/1aJRirW",a kidney for money paying donors actually pays off nestudy finds
2364,Opinion: Why selling kidneys still won't work http://nbcnews.to/1gMMU40,opinion why selling kidneys still will not work
2365,FDA proposes strict new  safety rules for animal food http://nbcnews.to/1gNN3nV,fda proposes strict nesafety rules for animal food
2366,"http://Healthcare.gov will work smoothly by end of November, government pledges http://nbcnews.to/1aJRqYn",will work smoothly by end of november government pledges
2367,FDA approves more powerful painkiller http://nbcnews.to/1aJYFQ4,fda approves more powerful painkiller
2368,Favre's 'scary' memory lapses re-open NFL concussion questions http://nbcnews.to/1gNY60o,favres scary memory lapses re open nfl concussion questions
2369,North Dakota Catholics warned of possible hepatitis exposure from bishop during communion http://nbcnews.to/1aKyUPF,north dakota catholics warned of possible hepatitis exposure from bishop during communion
2370,Tweeting bra exposed: Genuine support or publicity lift? http://nbcnews.to/1gNQScA,tweeting bra exposed genuine suppoor publicity lift
2371,"A kidney for $10,000? Paying donors actually pays off, new study finds http://nbcnews.to/1aJRirW",a kidney for money paying donors actually pays off nestudy finds
2372,Opinion: Why selling kidneys still won't work http://nbcnews.to/1gMMU40,opinion why selling kidneys still will not work
2373,FDA proposes strict new  safety rules for animal food http://nbcnews.to/1gNN3nV,fda proposes strict nesafety rules for animal food
2374,"http://Healthcare.gov will work smoothly by end of November, government pledges http://nbcnews.to/1aJRqYn",will work smoothly by end of november government pledges
2375,FDA approves more powerful painkiller http://nbcnews.to/1aJYFQ4,fda approves more powerful painkiller
2376,Favre's 'scary' memory lapses re-open NFL concussion questions http://nbcnews.to/1gNY60o,favres scary memory lapses re open nfl concussion questions
2377,North Dakota Catholics warned of possible hepatitis exposure from bishop during communion http://nbcnews.to/1aKyUPF,north dakota catholics warned of possible hepatitis exposure from bishop during communion
2378,Tweeting bra exposed: Genuine support or publicity lift? http://nbcnews.to/1gNQScA,tweeting bra exposed genuine suppoor publicity lift
2379,"A kidney for $10,000? Paying donors actually pays off, new study finds http://nbcnews.to/1aJRirW",a kidney for money paying donors actually pays off nestudy finds
2380,Opinion: Why selling kidneys still won't work http://nbcnews.to/1gMMU40,opinion why selling kidneys still will not work
2381,FDA proposes strict new  safety rules for animal food http://nbcnews.to/1gNN3nV,fda proposes strict nesafety rules for animal food
2382,"http://Healthcare.gov will work smoothly by end of November, government pledges http://nbcnews.to/1aJRqYn",will work smoothly by end of november government pledges
2383,FDA approves more powerful painkiller http://nbcnews.to/1aJYFQ4,fda approves more powerful painkiller
2384,Favre's 'scary' memory lapses re-open NFL concussion questions http://nbcnews.to/1gNY60o,favres scary memory lapses re open nfl concussion questions
2385,North Dakota Catholics warned of possible hepatitis exposure from bishop during communion http://nbcnews.to/1aKyUPF,north dakota catholics warned of possible hepatitis exposure from bishop during communion
2386,Tweeting bra exposed: Genuine support or publicity lift? http://nbcnews.to/1gNQScA,tweeting bra exposed genuine suppoor publicity lift
2387,"A kidney for $10,000? Paying donors actually pays off, new study finds http://nbcnews.to/1aJRirW",a kidney for money paying donors actually pays off nestudy finds
2388,Opinion: Why selling kidneys still won't work http://nbcnews.to/1gMMU40,opinion why selling kidneys still will not work
2389,FDA proposes strict new  safety rules for animal food http://nbcnews.to/1gNN3nV,fda proposes strict nesafety rules for animal food
2390,"http://Healthcare.gov will work smoothly by end of November, government pledges http://nbcnews.to/1aJRqYn",will work smoothly by end of november government pledges
2391,FDA approves more powerful painkiller http://nbcnews.to/1aJYFQ4,fda approves more powerful painkiller
2392,Favre's 'scary' memory lapses re-open NFL concussion questions http://nbcnews.to/1gNY60o,favres scary memory lapses re open nfl concussion questions
2393,North Dakota Catholics warned of possible hepatitis exposure from bishop during communion http://nbcnews.to/1aKyUPF,north dakota catholics warned of possible hepatitis exposure from bishop during communion
2394,Tweeting bra exposed: Genuine support or publicity lift? http://nbcnews.to/1gNQScA,tweeting bra exposed genuine suppoor publicity lift
2395,"A kidney for $10,000? Paying donors actually pays off, new study finds http://nbcnews.to/1aJRirW",a kidney for money paying donors actually pays off nestudy finds
2396,Opinion: Why selling kidneys still won't work http://nbcnews.to/1gMMU40,opinion why selling kidneys still will not work
2397,FDA proposes strict new  safety rules for animal food http://nbcnews.to/1gNN3nV,fda proposes strict nesafety rules for animal food
2398,"http://Healthcare.gov will work smoothly by end of November, government pledges http://nbcnews.to/1aJRqYn",will work smoothly by end of november government pledges
2399,FDA approves more powerful painkiller http://nbcnews.to/1aJYFQ4,fda approves more powerful painkiller
2400,Favre's 'scary' memory lapses re-open NFL concussion questions http://nbcnews.to/1gNY60o,favres scary memory lapses re open nfl concussion questions
2401,North Dakota Catholics warned of possible hepatitis exposure from bishop during communion http://nbcnews.to/1aKyUPF,north dakota catholics warned of possible hepatitis exposure from bishop during communion
2402,Tweeting bra exposed: Genuine support or publicity lift? http://nbcnews.to/1gNQScA,tweeting bra exposed genuine suppoor publicity lift
2403,"A kidney for $10,000? Paying donors actually pays off, new study finds http://nbcnews.to/1aJRirW",a kidney for money paying donors actually pays off nestudy finds
2404,Opinion: Why selling kidneys still won't work http://nbcnews.to/1gMMU40,opinion why selling kidneys still will not work
2405,FDA proposes strict new  safety rules for animal food http://nbcnews.to/1gNN3nV,fda proposes strict nesafety rules for animal food
2406,"http://Healthcare.gov will work smoothly by end of November, government pledges http://nbcnews.to/1aJRqYn",will work smoothly by end of november government pledges
2407,FDA approves more powerful painkiller http://nbcnews.to/1aJYFQ4,fda approves more powerful painkiller
2408,Favre's 'scary' memory lapses re-open NFL concussion questions http://nbcnews.to/1gNY60o,favres scary memory lapses re open nfl concussion questions
2409,North Dakota Catholics warned of possible hepatitis exposure from bishop during communion http://nbcnews.to/1aKyUPF,north dakota catholics warned of possible hepatitis exposure from bishop during communion
2410,Tweeting bra exposed: Genuine support or publicity lift? http://nbcnews.to/1gNQScA,tweeting bra exposed genuine suppoor publicity lift
2411,"A kidney for $10,000? Paying donors actually pays off, new study finds http://nbcnews.to/1aJRirW",a kidney for money paying donors actually pays off nestudy finds
2412,Opinion: Why selling kidneys still won't work http://nbcnews.to/1gMMU40,opinion why selling kidneys still will not work
2413,FDA proposes strict new  safety rules for animal food http://nbcnews.to/1gNN3nV,fda proposes strict nesafety rules for animal food
2414,"http://Healthcare.gov will work smoothly by end of November, government pledges http://nbcnews.to/1aJRqYn",will work smoothly by end of november government pledges
2415,FDA approves more powerful painkiller http://nbcnews.to/1aJYFQ4,fda approves more powerful painkiller
2416,Favre's 'scary' memory lapses re-open NFL concussion questions http://nbcnews.to/1gNY60o,favres scary memory lapses re open nfl concussion questions
2417,North Dakota Catholics warned of possible hepatitis exposure from bishop during communion http://nbcnews.to/1aKyUPF,north dakota catholics warned of possible hepatitis exposure from bishop during communion
2418,Tweeting bra exposed: Genuine support or publicity lift? http://nbcnews.to/1gNQScA,tweeting bra exposed genuine suppoor publicity lift
2419,"A kidney for $10,000? Paying donors actually pays off, new study finds http://nbcnews.to/1aJRirW",a kidney for money paying donors actually pays off nestudy finds
2420,Opinion: Why selling kidneys still won't work http://nbcnews.to/1gMMU40,opinion why selling kidneys still will not work
2421,FDA proposes strict new  safety rules for animal food http://nbcnews.to/1gNN3nV,fda proposes strict nesafety rules for animal food
2422,"http://Healthcare.gov will work smoothly by end of November, government pledges http://nbcnews.to/1aJRqYn",will work smoothly by end of november government pledges
2423,FDA approves more powerful painkiller http://nbcnews.to/1aJYFQ4,fda approves more powerful painkiller
2424,Favre's 'scary' memory lapses re-open NFL concussion questions http://nbcnews.to/1gNY60o,favres scary memory lapses re open nfl concussion questions
2425,North Dakota Catholics warned of possible hepatitis exposure from bishop during communion http://nbcnews.to/1aKyUPF,north dakota catholics warned of possible hepatitis exposure from bishop during communion
2426,Tweeting bra exposed: Genuine support or publicity lift? http://nbcnews.to/1gNQScA,tweeting bra exposed genuine suppoor publicity lift
2427,"A kidney for $10,000? Paying donors actually pays off, new study finds http://nbcnews.to/1aJRirW",a kidney for money paying donors actually pays off nestudy finds
2428,Opinion: Why selling kidneys still won't work http://nbcnews.to/1gMMU40,opinion why selling kidneys still will not work
2429,FDA proposes strict new  safety rules for animal food http://nbcnews.to/1gNN3nV,fda proposes strict nesafety rules for animal food
2430,"http://Healthcare.gov will work smoothly by end of November, government pledges http://nbcnews.to/1aJRqYn",will work smoothly by end of november government pledges
2431,FDA approves more powerful painkiller http://nbcnews.to/1aJYFQ4,fda approves more powerful painkiller
