emotion,emo,file, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
neutral,3,08796.jpg,0.86,0.23,0,0.47,0.2,0.12,0.11,0.74,0.16,0,0.05,1.24,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,3,08797.jpg,0,0,0.41,0,0.37,0.18,0.4,0.98,0.37,0,0,0.88,0,0.22,0,0.54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,3,08798.jpg,0,0,0.58,0,0.74,0.91,0.53,1.44,0.45,0.16,0.22,1.03,0,0.22,0,0.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
neutral,3,08799.jpg,0,0,0.58,0,0.54,0.79,0.69,1.22,0.29,0.16,0.31,0.87,0,0.22,0,0.67,0.26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
neutral,3,08800.jpg,0,0,0.17,0,0.37,0.72,0.4,0.74,0.08,0.16,0.54,0.32,0,0,0.08,0.49,0.26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
neutral,3,08801.jpg,0,0,0,0,0,0,0.27,0.19,0,0,0.36,0.3,0,0,0.08,0.13,0.26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
neutral,3,08802.jpg,0,0,0,0,0.15,0.17,0.01,0.83,0.22,0.37,0.29,0.92,0.03,0,0.08,0,0.39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
neutral,3,08803.jpg,0.16,0.39,0.29,0,0.15,0.73,0.33,1.05,0.3,0.92,0.06,0.88,0.03,0,0.19,0,0.65,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,3,08804.jpg,0.16,0.39,0.99,0,0.24,1.24,0.64,1.11,0.3,1.16,0.24,0.88,0.03,0,0.19,0.33,0.65,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
neutral,3,08805.jpg,0.46,0.9,1.1,0,0.14,1.07,0.63,0.78,0.36,1.11,0.35,0.63,0.21,0,1.3,0.57,0.26,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
surprise,5,08806.jpg,0.41,0.51,0.81,0,0.67,1.65,0.35,1.36,0.82,0.74,0.74,0.63,0.21,0,2.26,0.83,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
happiness,1,08807.jpg,1.64,0.68,0.38,0.55,0.59,1.44,0.05,1.95,0.91,0.5,0.52,0.38,0.21,0,2.8,0.87,0.71,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
surprise,5,08808.jpg,1.55,0.55,0.27,0.55,0.53,1.59,0.05,1.76,0.65,0.58,0.48,0.9,0,0,1.93,1.02,0.9,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
neutral,3,08809.jpg,3.11,1.97,0.27,0.6,0,0.94,0,0.94,0.41,0.77,0.08,1.02,0,0,0.77,0.76,1.63,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
happiness,1,08810.jpg,2.27,1.81,0,0.04,0.11,1.08,0.3,0.21,0.32,0.77,0.28,1.17,0,0,0.23,0.39,1.87,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
neutral,3,08811.jpg,2.71,1.87,0.02,0.04,0.11,1.34,0.3,0,0.37,1.14,0.21,1,0,0,0,0.78,1.68,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
surprise,5,08812.jpg,1.16,0.45,0.02,0.18,0.11,0.85,0.3,0.11,0.07,0.84,0.56,1.29,0.22,0,0.11,0.9,0.95,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,3,08813.jpg,1.95,1.04,0.02,0.18,0,0.4,0,0.14,0.13,1.07,0.49,1.32,0.22,0,0.25,1.61,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
neutral,3,08814.jpg,2.45,1.52,0,0.18,0.07,0.47,0,0.14,0.62,0.52,0.48,0.62,0.22,0,1.17,0.83,0.35,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
happiness,1,08815.jpg,2.89,1.65,0,0,0.08,0.63,0.26,0.58,0.62,0.86,0.14,0.52,0.37,0,1.22,0.7,0.43,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
neutral,3,08816.jpg,1.91,1.06,0.45,0,0.49,1.38,0.43,0.84,0.77,0.85,0.45,0.88,0.47,0,1.07,0.15,0.66,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,3,08817.jpg,0.75,0.14,1.11,0,0.45,1.23,0.82,0.86,0.21,0.83,0.78,1.26,0.51,0,0.4,0.4,0.31,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,3,08818.jpg,0.46,0.13,1.24,0,0.45,1.26,0.56,0.31,0.21,0.41,0.76,1.32,0.45,0.07,0.24,0.4,0.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
neutral,3,08819.jpg,0.27,0.13,1.66,0,0.79,1.93,0.41,0.79,0.08,0.41,0.36,0.78,0.92,0.38,0.69,0.25,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
anger,2,08820.jpg,0.27,0.13,1.01,0,1.01,2.11,0.02,0.77,0.63,0.62,0.03,0.55,0.88,0.38,0.62,0.05,0.37,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
happiness,1,08821.jpg,0,0,0.87,0,1.09,1.98,0.02,1.22,1.05,0.71,0.09,0.45,0.57,0.31,1.36,0.15,0.43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
happiness,1,08822.jpg,0,0,0.26,0,0.33,0.85,0,0.58,0.97,0.5,0.06,0.68,0,0,0.95,0.52,0.43,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
neutral,3,08823.jpg,0.2,0,0.27,0.04,0.07,0.56,0,0.58,0.42,0.6,0.44,0.53,0,0,0.78,0.76,0.34,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1
neutral,3,08824.jpg,0.3,0,0.27,0.04,0.91,0.58,0,0.65,0.83,0.59,0.43,0.26,0.24,0,0.67,0.65,0.28,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
happiness,1,08825.jpg,0.3,0,0.26,0.04,1.2,0.29,0,0.98,1.25,1.65,0.43,0.04,0.24,0,1.12,0.29,0.52,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
happiness,1,08826.jpg,0.1,0,0.26,0,1.68,0.9,0.27,1.6,1.52,1.18,0.05,0.08,0.24,0,1.56,0.68,0.24,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1
happiness,1,08827.jpg,0,0,0.36,0,1.2,1.38,0.28,1.2,1.25,1.42,0.04,0.6,0,0,1.37,0.84,0.24,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1
neutral,3,08828.jpg,0.06,0,0.8,0,1.5,2.2,0.29,1.18,1.16,0.45,0.36,0.89,0.19,0,1.52,1.21,0.21,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1
anger,2,08829.jpg,0.06,0,0.8,0,1.54,1.97,0.3,1.24,1.06,0.86,0.36,0.81,0.19,0,1.27,0.54,0.21,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1
neutral,3,08830.jpg,0.06,0,0.95,0,1.41,1.81,0.58,1.78,0.84,1.2,0.37,0.83,0.19,0,1.43,0.68,0.21,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1
neutral,3,08831.jpg,0,0,0.26,0,1.64,1.92,0.56,1.88,1.26,1.82,0.05,0.77,0,0.49,1.4,0.72,0.16,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1
happiness,1,08832.jpg,0,0,0.26,0.4,1.55,1.34,0.28,1.65,1.63,1.81,0.6,0.94,0,1.14,1.45,1.06,0.16,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1
happiness,1,08833.jpg,0,0,0,0.4,1.51,0.93,0,1.33,1.7,1.85,0.58,1.09,0.62,1.14,0.94,1.29,0.16,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1
neutral,3,08834.jpg,0,0,0.15,0.4,1.15,0.76,0.23,1.08,1.51,1.88,0.58,1.21,0.62,1.1,0.31,0.87,0.06,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0
neutral,3,08835.jpg,0.39,0,0.69,0.05,0.79,1.45,0.33,0.82,1.02,1.79,0.14,1.12,0.62,0.44,0.59,0.54,0.12,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0
neutral,3,08836.jpg,0.75,0,1.61,0.05,0.9,1.81,0.33,0.88,0.68,1.21,0.12,0.62,0.26,0.44,1.09,0.25,0.11,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1
neutral,3,08837.jpg,1.06,0.53,2.06,0.05,0.45,1.05,0.1,0.59,0.12,0.46,0.78,1.08,0.26,0,1.09,0.25,0.08,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
surprise,5,08838.jpg,0.78,0.66,1.93,0,0.54,1.26,0,0.62,0.07,0.24,0.67,1,0.46,0,1.07,0.45,0.02,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
neutral,3,08839.jpg,0.42,0.81,1.02,0,0.29,1.38,0.06,0.38,0.31,0.83,1.01,0.86,0.32,0,0.98,0.21,0.02,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
neutral,3,08840.jpg,0.11,0.28,0.73,0,0.72,1.94,0.1,0.52,1,1.14,0.39,0.05,0.39,0,1.64,0.21,0.39,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
happiness,1,08841.jpg,0.38,0.15,0.33,0,0.56,1.03,0.1,0.28,1.08,1.23,0.7,0.35,0.19,0,1.42,0,0.46,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
neutral,3,08842.jpg,0.38,0,0.33,0,0.94,0.61,0.04,0.41,1.7,1.36,0.36,0.38,0.28,0.68,1.4,0.06,0.46,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
happiness,1,08843.jpg,0.55,0,0.64,0,0.74,0.34,0,0.94,1.25,1.57,0.31,0.55,0.37,0.68,1.26,0.25,0.16,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
neutral,3,08844.jpg,0.23,0,0.87,0,1.07,0.34,0,1.67,1.68,2.32,0.27,0.35,0.5,0.68,1.58,0.25,0.11,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
happiness,1,08845.jpg,0.23,0,1.27,0,0.86,0.39,0.06,1.62,1.1,2.51,0.27,0.36,0.33,0.49,1.6,0.51,0.11,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
neutral,3,08846.jpg,0.05,0,1.26,0,0.98,0.23,0.11,1.56,1.11,2.1,0.38,0.38,0.17,0.49,1.86,0.46,0.61,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
happiness,1,08847.jpg,0.01,0,1.25,0,0.69,0.52,0.11,0.89,0.78,1.37,0.31,0.6,0.03,0.49,1.28,0.92,0.59,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
neutral,3,08848.jpg,0.01,0,1.03,0,0.74,1.31,0.2,0.67,0.66,0.49,0.52,0.8,0.25,0,0.78,1,0.83,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
happiness,1,08849.jpg,0.01,0,0.41,0,0.39,1.18,0.15,0.06,0.46,0.59,0.47,0.61,0.25,0,0,0.86,0.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
neutral,3,08850.jpg,0.7,0,0.17,0,0.35,0.89,0.15,0.01,0.28,0.36,0.6,0.31,0.25,0,0.05,0.41,0.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,3,08851.jpg,0.7,0,0.21,0,0,0,0,0.01,0.05,0.2,0.72,0.38,0,0,0.18,0.29,0.17,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
neutral,3,08852.jpg,0.7,0,0.26,0,0,0,0.01,0.12,0.12,0.29,0.88,0.78,0,0,0.48,0.29,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
neutral,3,08853.jpg,0.44,0.08,0.26,0,0.48,0.33,0.23,0.76,0.81,1.25,0.62,0.83,0,0,0.73,0.29,0.41,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
happiness,1,08855.jpg,0.44,0.08,0.56,0,0.89,0.34,0.46,0.76,0.81,1.88,0.28,0.81,0.6,0,0.6,0,1.06,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
neutral,3,08856.jpg,0.44,0.08,0.51,0,1.24,0.34,1.04,1.08,0.81,1.81,0.05,0.92,0.6,0,0.29,0,1.06,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
neutral,3,08857.jpg,0,0,0.51,0,1.07,0.01,1.57,0.84,0.2,0.84,0.41,1.39,0.6,0,0,0,0.65,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
neutral,3,08858.jpg,0.05,0,0,0,0.66,0,1.86,0.84,0.2,0.22,0.77,1.4,0,0,0.34,0,0.12,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
neutral,3,08859.jpg,0.19,0,0,0,0.54,0.13,1.71,0.63,0.08,0,0.77,0.9,0,0,0.89,0.64,0.52,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
neutral,3,08860.jpg,0.51,0,0,0,0.38,0.37,1.29,0.7,0.22,0.87,0.87,0.71,0,0,0.89,0.64,0.52,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
neutral,3,08861.jpg,0.79,0,0.59,0,0.97,0.78,0.96,1.56,0.65,0.93,0.52,0.83,0.13,0,0.92,0.64,0.85,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
happiness,1,08862.jpg,1.67,0.33,0.59,0,0.73,0.65,0.53,1.72,0.99,1.57,0.52,1.51,0.49,0.14,0.37,0.13,0.46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neutral,3,08863.jpg,1.37,0.33,0.59,0,0.59,0.63,0.19,1.41,1.32,1.1,0.01,1.68,0.6,0.8,0.41,0.13,0.46,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
happiness,1,08864.jpg,1.35,0.33,0,0,0,0.21,0,0.66,1.05,1.03,0,1.55,0.46,1.04,0.04,0.13,0.2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
neutral,3,08865.jpg,0.98,0,0.43,0,0.33,0.95,0.37,1.03,1.39,0.98,0.22,0.87,0.11,0.89,0.78,0,0.2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
happiness,1,08866.jpg,2.02,0,0.55,0,0.5,0.74,0.43,1.19,0.99,0.71,1,1,0,0.23,0.74,0,0.2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
neutral,3,08867.jpg,2.42,0.11,0.55,0,0.68,0.74,0.43,1.28,0.92,0.98,1.11,1.06,0,0,1.03,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
neutral,3,08868.jpg,3.03,0.11,0.12,0,0.34,0.46,0.06,0.72,0.39,0.39,1.04,2.11,0,0,0.3,0.01,0.59,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
neutral,3,08869.jpg,1.97,0.11,0,0,0.58,0.83,0,1.14,0.82,0.72,0.54,1.85,0.07,0,0.63,0.22,1.11,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
happiness,1,08870.jpg,2.38,0,0.14,0,0.4,0.82,0,1.85,0.94,0.47,0.7,2.4,0.07,0,0.34,0.22,1.66,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
neutral,3,08871.jpg,1.13,0,0.14,0,0.5,0.37,0.26,2.02,0.89,0.77,0.97,1.93,0.13,0,0.86,0.21,1.08,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
neutral,3,08872.jpg,1.13,0,0.14,0.34,0.16,0.06,0.64,1.26,0.32,0.46,0.69,1.54,0.06,0,0.62,0,0.67,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
neutral,3,08873.jpg,0.37,0.14,0.19,0.34,0.16,0.06,0.64,0.36,0.12,0.45,0.75,1.23,0.06,0,1.19,0.01,0.53,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
neutral,3,08874.jpg,0.49,0.14,0.66,0.34,0.38,0.34,0.53,0.55,0,0.15,0.42,0.65,0,0,1.34,0.6,0.53,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
happiness,1,08875.jpg,0.49,0.14,0.94,0,0.86,0.51,0.5,1.14,0.65,0.56,0.65,1.14,0,0,2.09,0.6,0.42,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
happiness,1,08876.jpg,0.12,0,1.13,0,0.86,0.51,0.5,1.19,0.65,0.64,0.32,0.92,0,0,1.52,0.85,0.29,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
neutral,3,08877.jpg,0.44,0.24,0.66,0.25,0.55,0.23,0.36,1.02,0.69,0.93,0.43,1.55,0,0,0.86,0.25,0.29,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
happiness,1,08878.jpg,1.36,0.68,0.38,0.25,0,0.15,0,0.43,0.08,0.37,0.26,1.2,0,0,0.21,0.71,0.29,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
happiness,1,08879.jpg,2.14,1.54,0,0.46,0.2,0.15,0,0.95,1.01,0.89,0.26,0.77,0,0,0.66,0.73,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
happiness,1,08880.jpg,1.7,1.3,0.36,0.21,1.02,1.58,0,0.96,1.41,0.6,0.16,0.37,0.81,0.22,0.87,0.73,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
happiness,1,08881.jpg,0.78,0.88,0.36,0.22,1.17,1.76,0,1.23,2.27,1.04,0.1,0.24,0.81,0.22,1.27,0.27,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,08882.jpg,0.03,0.02,0.36,0.01,1.05,2.01,0,0.92,1.84,0.69,0.1,0.24,0.81,0.22,1.29,0.54,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,08883.jpg,0.03,0.02,0,0.01,0.47,0.57,0,0.74,2.5,1.04,0,0,0,0.15,1.72,0.79,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0
happiness,1,08884.jpg,0.55,0.06,0.48,0.4,0.32,0.25,0,0.62,1.59,0.64,0,0.83,0,0.51,1.13,1.46,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0
neutral,3,08885.jpg,1.11,0.32,0.95,0.4,0.28,0,0,0.5,1.25,0.52,0.01,0.98,0.31,0.51,1.49,1.55,0.16,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0
neutral,3,08886.jpg,1.11,0.32,1.06,0.4,0.25,0.07,0,0.48,0.32,0.71,0.01,1.54,1.14,0.51,0.96,2.03,0.16,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0
neutral,3,08887.jpg,0.59,0.26,0.58,0,0.81,0.21,0,0.98,1.13,1.45,0.01,0.72,1.18,0.15,1.4,1.46,0.78,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0
happiness,1,08888.jpg,0,0.17,0.11,0,1.59,1.15,0,1.4,2.04,1.77,0,0.74,0.88,0.78,1.2,1.27,0.62,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0
happiness,1,08890.jpg,0.27,0.48,0.37,0,1.72,1.08,0,1.79,2.13,1.54,0,0.26,0.46,0.63,2.07,1.35,0.62,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0
neutral,3,08891.jpg,0.27,0.48,0.76,0,1.62,1.4,0,1.67,1.75,1.24,0,1.28,0.89,0.88,1.62,1.26,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0
happiness,1,08892.jpg,0.27,0.31,0.92,0,1.33,0.88,0,1.52,1.06,1.09,0,2.21,1.45,0.44,1,1.36,0.14,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
happiness,1,08893.jpg,0,0,0.77,0,1.64,1.08,0,1.56,1.71,1.54,0,2.21,1.08,0.81,0.36,0.54,0.14,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0
happiness,1,08894.jpg,0.23,0.02,0.38,0,1.36,0.61,0,1.2,1.88,1.62,0,1.56,1.02,0.67,0.67,0.54,0.54,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0
happiness,1,08895.jpg,0.54,0.02,0.49,0,0.88,1,0,0.88,1.5,1.45,0.25,1.26,0.44,0.48,0.67,0,0.4,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
neutral,3,08896.jpg,0.54,0.02,0.26,0,0.22,0.8,0,0.25,0.61,0.68,0.25,1.34,0.4,0.11,0.35,0.07,0.57,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
neutral,3,08897.jpg,0.69,0,1.02,0,0.03,1.13,0,0.1,0,0.32,0.25,1.39,0.36,0.01,0.17,0.58,0.17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
neutral,3,08898.jpg,0.66,0,0.89,0,0.17,0.33,0.1,0.09,0.22,0.85,0,0.8,0.64,0.01,0.23,1.2,0.17,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
neutral,3,08899.jpg,1.38,0,0.98,0,0.25,0.41,0.12,0.5,0.22,0.85,0.29,0.99,1.15,0,0.49,1.31,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
neutral,3,08900.jpg,1.75,0.29,0.58,0,0.55,0.7,0.35,0.71,0.63,1.07,0.44,0.77,0.79,0,0.73,0.8,0.12,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
neutral,3,08901.jpg,1.48,0.29,0.46,0,0.39,0.99,0.25,0.62,0.41,0.53,0.44,0.75,0.73,0,0.67,0.19,0.12,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
neutral,3,08902.jpg,0.75,0.96,0.36,0,0.37,0.91,0.23,0.48,0.92,0.56,0.59,1.47,0.21,0.2,0.37,0,0.12,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
neutral,3,08903.jpg,0,0.68,0,0,0.07,1.04,0.3,0.27,0.51,0.15,0.45,1.29,0.22,0.2,0.45,0.45,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surprise,5,08904.jpg,0,0.68,0.14,0.22,0.06,1.43,0.3,0.27,0.51,0.03,0.45,1.11,0.01,0.23,0.53,0.76,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
neutral,3,08905.jpg,0,0,0.14,0.22,0,1.43,0.3,0.14,0.25,0,0.09,0.81,0.01,0.48,0.53,0.89,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
neutral,3,08906.jpg,0.63,0.22,0.65,0.36,0,0.84,0,0.5,0.3,0.35,0.09,1.42,0.21,0.48,0.07,0.76,0.04,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
neutral,3,08907.jpg,1.94,0.9,0.85,0.44,0,0.22,0,0.53,0.49,0.9,0.09,1.87,0.77,0.45,0,0.79,0.04,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
neutral,3,08908.jpg,1.94,0.9,0.85,0.44,0.4,0.68,0,1.13,1.14,1.55,0,1.09,0.77,0,1,0.67,0.04,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
happiness,1,08909.jpg,1.53,0.67,0.75,0.39,0.66,0.53,0,1.13,1.35,1.33,0,0.98,0.56,0,1.17,0.7,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
neutral,3,08910.jpg,0.21,0.32,0.4,0.31,1.51,1.72,0.37,1.31,1.87,1.79,0.06,1.05,0,0.39,1.17,0.35,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,08911.jpg,0.35,0.49,0.57,0.31,1.43,1.26,0.37,1.27,1.58,2.18,0.06,1.21,0,0.39,0.54,0.36,0.55,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,08913.jpg,0.13,0.49,0.27,0.22,1.73,1.7,0.89,1.14,1.77,2.54,0.59,0.93,0.43,0.39,1,0.1,0.62,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
happiness,1,08914.jpg,1.09,0.18,0.27,0.16,0.88,0.44,0.53,1.07,1.3,1.53,0.8,0.6,0.43,0,1,0.22,0.63,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
neutral,3,08915.jpg,1.23,0.31,0.41,0.16,0.59,0.44,0.53,0.66,0.84,0.7,1.14,0.52,0.43,0,0.68,0.21,0.08,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
neutral,3,08916.jpg,1.23,0.31,0.51,0.16,0.55,0.34,0.26,1.17,0.64,1.03,0.61,1.19,0.12,0,0.05,0.12,0.01,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
neutral,3,08917.jpg,0.92,0.69,0.86,0,0.62,0.82,0.26,1.5,0.4,1.21,0.35,1.25,0.43,0,0.19,0.64,0.43,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
neutral,3,08918.jpg,0.65,0.38,0.88,0,1.09,0.85,0.26,1.84,0.47,1.86,0,1.39,0.5,0.11,0.14,0.64,0.46,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
neutral,3,08919.jpg,0.65,0.38,1.03,0,0.56,0.5,0,1.42,0.21,1.48,0.19,1.05,0.99,0.45,0.14,0.84,0.46,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
neutral,3,08920.jpg,0,0,1.26,0,1.18,0.76,0.21,1.73,0.97,1.79,0.4,0.77,0.68,0.45,0.49,0.2,0.09,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1
happiness,1,08921.jpg,0,0,1.01,0,0.91,0.74,0.21,1.3,0.76,1.49,0.4,0.87,0.61,0.34,1,0.43,0.47,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
neutral,3,08922.jpg,0.39,0,1.4,0,1.09,1.07,0.21,1.34,0.83,1.48,0.31,0.75,0.02,0,1.05,0.4,0.7,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
